osm_id,elemento,dimensao,criterio,valor_observado,nivel_evidencia,interpretacao,total_universo_criterio
way/1459568214,calcada,superficie,surface,concrete,caracterizacao_contextual,Material da superfície registrado para caracterização física do trecho.,39
way/1459568214,calcada,orientacao_visual_sensorial,tactile_paving,yes,recurso_acessibilidade_presente,Presença registrada de recurso de orientação tátil.,39
way/1459568214,calcada,continuidade_rede,extremidades_conectadas_rede,2_de_2,sem_evidencia_negativa_no_criterio,As duas extremidades apresentam correspondência geométrica com outra calçada ou travessia.,39
way/1459568215,calcada,mobilidade_fisica,smoothness,bad,impedimento_restricao_identificada,"Condição ruim do pavimento, capaz de dificultar o deslocamento de usuários com mobilidade reduzida.",39
way/1459568215,calcada,superficie,surface,concrete,caracterizacao_contextual,Material da superfície registrado para caracterização física do trecho.,39
way/1459568215,calcada,orientacao_visual_sensorial,tactile_paving,yes,recurso_acessibilidade_presente,Presença registrada de recurso de orientação tátil.,39
way/1459568215,calcada,continuidade_rede,extremidades_conectadas_rede,2_de_2,sem_evidencia_negativa_no_criterio,As duas extremidades apresentam correspondência geométrica com outra calçada ou travessia.,39
way/1459630734,calcada,mobilidade_fisica,smoothness,good,sem_evidencia_negativa_no_criterio,Não foi identificada condição desfavorável neste critério.,39
way/1459630734,calcada,superficie,surface,concrete,caracterizacao_contextual,Material da superfície registrado para caracterização física do trecho.,39
way/1459630734,calcada,orientacao_visual_sensorial,tactile_paving,yes,recurso_acessibilidade_presente,Presença registrada de recurso de orientação tátil.,39
way/1459630734,calcada,continuidade_rede,extremidades_conectadas_rede,2_de_2,sem_evidencia_negativa_no_criterio,As duas extremidades apresentam correspondência geométrica com outra calçada ou travessia.,39
way/1459630735,calcada,mobilidade_fisica,smoothness,bad,impedimento_restricao_identificada,"Condição ruim do pavimento, capaz de dificultar o deslocamento de usuários com mobilidade reduzida.",39
way/1459630735,calcada,superficie,surface,paving_stones,condicao_critica_oportunidade_melhoria,Material que pode demandar inspeção quanto à regularidade e trepidação. O material isoladamente não determina uma barreira.,39
way/1459630735,calcada,orientacao_visual_sensorial,tactile_paving,yes,recurso_acessibilidade_presente,Presença registrada de recurso de orientação tátil.,39
way/1459630735,calcada,continuidade_rede,extremidades_conectadas_rede,2_de_2,sem_evidencia_negativa_no_criterio,As duas extremidades apresentam correspondência geométrica com outra calçada ou travessia.,39
way/1459630736,calcada,mobilidade_fisica,smoothness,good,sem_evidencia_negativa_no_criterio,Não foi identificada condição desfavorável neste critério.,39
way/1459630736,calcada,superficie,surface,concrete,caracterizacao_contextual,Material da superfície registrado para caracterização física do trecho.,39
way/1459630736,calcada,orientacao_visual_sensorial,tactile_paving,yes,recurso_acessibilidade_presente,Presença registrada de recurso de orientação tátil.,39
way/1459630736,calcada,continuidade_rede,extremidades_conectadas_rede,2_de_2,sem_evidencia_negativa_no_criterio,As duas extremidades apresentam correspondência geométrica com outra calçada ou travessia.,39
way/1459630737,calcada,mobilidade_fisica,smoothness,bad,impedimento_restricao_identificada,"Condição ruim do pavimento, capaz de dificultar o deslocamento de usuários com mobilidade reduzida.",39
way/1459630737,calcada,superficie,surface,concrete,caracterizacao_contextual,Material da superfície registrado para caracterização física do trecho.,39
way/1459630737,calcada,orientacao_visual_sensorial,tactile_paving,no,impedimento_restricao_identificada,"Ausência explicitamente registrada de piso tátil, interpretada no estudo como restrição à orientação sensorial.",39
way/1459630737,calcada,continuidade_rede,extremidades_conectadas_rede,2_de_2,sem_evidencia_negativa_no_criterio,As duas extremidades apresentam correspondência geométrica com outra calçada ou travessia.,39
way/1459630738,calcada,mobilidade_fisica,smoothness,good,sem_evidencia_negativa_no_criterio,Não foi identificada condição desfavorável neste critério.,39
way/1459630738,calcada,superficie,surface,paving_stones,condicao_critica_oportunidade_melhoria,Material que pode demandar inspeção quanto à regularidade e trepidação. O material isoladamente não determina uma barreira.,39
way/1459630738,calcada,orientacao_visual_sensorial,tactile_paving,no,impedimento_restricao_identificada,"Ausência explicitamente registrada de piso tátil, interpretada no estudo como restrição à orientação sensorial.",39
way/1459630738,calcada,continuidade_rede,extremidades_conectadas_rede,2_de_2,sem_evidencia_negativa_no_criterio,As duas extremidades apresentam correspondência geométrica com outra calçada ou travessia.,39
way/1459630739,calcada,mobilidade_fisica,smoothness,bad,impedimento_restricao_identificada,"Condição ruim do pavimento, capaz de dificultar o deslocamento de usuários com mobilidade reduzida.",39
way/1459630739,calcada,superficie,surface,concrete,caracterizacao_contextual,Material da superfície registrado para caracterização física do trecho.,39
way/1459630739,calcada,orientacao_visual_sensorial,tactile_paving,no,impedimento_restricao_identificada,"Ausência explicitamente registrada de piso tátil, interpretada no estudo como restrição à orientação sensorial.",39
way/1459630739,calcada,continuidade_rede,extremidades_conectadas_rede,1_de_2,requer_inspecao_interpretativa,Uma ou mais extremidades não apresentam correspondência geométrica no conjunto analisado. A situação não é tratada automaticamente como erro.,39
way/1459630740,calcada,mobilidade_fisica,smoothness,bad,impedimento_restricao_identificada,"Condição ruim do pavimento, capaz de dificultar o deslocamento de usuários com mobilidade reduzida.",39
way/1459630740,calcada,superficie,surface,concrete,caracterizacao_contextual,Material da superfície registrado para caracterização física do trecho.,39
way/1459630740,calcada,orientacao_visual_sensorial,tactile_paving,no,impedimento_restricao_identificada,"Ausência explicitamente registrada de piso tátil, interpretada no estudo como restrição à orientação sensorial.",39
way/1459630740,calcada,continuidade_rede,extremidades_conectadas_rede,1_de_2,requer_inspecao_interpretativa,Uma ou mais extremidades não apresentam correspondência geométrica no conjunto analisado. A situação não é tratada automaticamente como erro.,39
way/1459630749,calcada,mobilidade_fisica,smoothness,bad,impedimento_restricao_identificada,"Condição ruim do pavimento, capaz de dificultar o deslocamento de usuários com mobilidade reduzida.",39
way/1459630749,calcada,superficie,surface,concrete,caracterizacao_contextual,Material da superfície registrado para caracterização física do trecho.,39
way/1459630749,calcada,orientacao_visual_sensorial,tactile_paving,no,impedimento_restricao_identificada,"Ausência explicitamente registrada de piso tátil, interpretada no estudo como restrição à orientação sensorial.",39
way/1459630749,calcada,continuidade_rede,extremidades_conectadas_rede,1_de_2,requer_inspecao_interpretativa,Uma ou mais extremidades não apresentam correspondência geométrica no conjunto analisado. A situação não é tratada automaticamente como erro.,39
way/1459630750,calcada,mobilidade_fisica,smoothness,intermediate,condicao_critica_oportunidade_melhoria,Condição intermediária do pavimento; recomenda-se avaliação ou inspeção mais detalhada.,39
way/1459630750,calcada,superficie,surface,concrete,caracterizacao_contextual,Material da superfície registrado para caracterização física do trecho.,39
way/1459630750,calcada,orientacao_visual_sensorial,tactile_paving,no,impedimento_restricao_identificada,"Ausência explicitamente registrada de piso tátil, interpretada no estudo como restrição à orientação sensorial.",39
way/1459630750,calcada,continuidade_rede,extremidades_conectadas_rede,2_de_2,sem_evidencia_negativa_no_criterio,As duas extremidades apresentam correspondência geométrica com outra calçada ou travessia.,39
way/1459640304,calcada,mobilidade_fisica,smoothness,good,sem_evidencia_negativa_no_criterio,Não foi identificada condição desfavorável neste critério.,39
way/1459640304,calcada,superficie,surface,concrete,caracterizacao_contextual,Material da superfície registrado para caracterização física do trecho.,39
way/1459640304,calcada,orientacao_visual_sensorial,tactile_paving,yes,recurso_acessibilidade_presente,Presença registrada de recurso de orientação tátil.,39
way/1459640304,calcada,continuidade_rede,extremidades_conectadas_rede,1_de_2,requer_inspecao_interpretativa,Uma ou mais extremidades não apresentam correspondência geométrica no conjunto analisado. A situação não é tratada automaticamente como erro.,39
way/1459640305,calcada,mobilidade_fisica,smoothness,intermediate,condicao_critica_oportunidade_melhoria,Condição intermediária do pavimento; recomenda-se avaliação ou inspeção mais detalhada.,39
way/1459640305,calcada,superficie,surface,concrete,caracterizacao_contextual,Material da superfície registrado para caracterização física do trecho.,39
way/1459640305,calcada,orientacao_visual_sensorial,tactile_paving,no,impedimento_restricao_identificada,"Ausência explicitamente registrada de piso tátil, interpretada no estudo como restrição à orientação sensorial.",39
way/1459640305,calcada,continuidade_rede,extremidades_conectadas_rede,0_de_2,requer_inspecao_interpretativa,Uma ou mais extremidades não apresentam correspondência geométrica no conjunto analisado. A situação não é tratada automaticamente como erro.,39
way/1459640306,calcada,mobilidade_fisica,smoothness,good,sem_evidencia_negativa_no_criterio,Não foi identificada condição desfavorável neste critério.,39
way/1459640306,calcada,superficie,surface,concrete,caracterizacao_contextual,Material da superfície registrado para caracterização física do trecho.,39
way/1459640306,calcada,orientacao_visual_sensorial,tactile_paving,yes,recurso_acessibilidade_presente,Presença registrada de recurso de orientação tátil.,39
way/1459640306,calcada,continuidade_rede,extremidades_conectadas_rede,0_de_2,requer_inspecao_interpretativa,Uma ou mais extremidades não apresentam correspondência geométrica no conjunto analisado. A situação não é tratada automaticamente como erro.,39
way/1466119802,calcada,mobilidade_fisica,smoothness,good,sem_evidencia_negativa_no_criterio,Não foi identificada condição desfavorável neste critério.,39
way/1466119802,calcada,superficie,surface,concrete,caracterizacao_contextual,Material da superfície registrado para caracterização física do trecho.,39
way/1466119802,calcada,orientacao_visual_sensorial,tactile_paving,,indeterminado,Não há informação suficiente para determinar a presença de orientação tátil no trecho.,39
way/1466119802,calcada,continuidade_rede,extremidades_conectadas_rede,2_de_2,sem_evidencia_negativa_no_criterio,As duas extremidades apresentam correspondência geométrica com outra calçada ou travessia.,39
way/1466128233,calcada,mobilidade_fisica,smoothness,good,sem_evidencia_negativa_no_criterio,Não foi identificada condição desfavorável neste critério.,39
way/1466128233,calcada,superficie,surface,concrete,caracterizacao_contextual,Material da superfície registrado para caracterização física do trecho.,39
way/1466128233,calcada,orientacao_visual_sensorial,tactile_paving,,indeterminado,Não há informação suficiente para determinar a presença de orientação tátil no trecho.,39
way/1466128233,calcada,continuidade_rede,extremidades_conectadas_rede,1_de_2,requer_inspecao_interpretativa,Uma ou mais extremidades não apresentam correspondência geométrica no conjunto analisado. A situação não é tratada automaticamente como erro.,39
way/1466128234,calcada,mobilidade_fisica,smoothness,good,sem_evidencia_negativa_no_criterio,Não foi identificada condição desfavorável neste critério.,39
way/1466128234,calcada,superficie,surface,concrete,caracterizacao_contextual,Material da superfície registrado para caracterização física do trecho.,39
way/1466128234,calcada,orientacao_visual_sensorial,tactile_paving,,indeterminado,Não há informação suficiente para determinar a presença de orientação tátil no trecho.,39
way/1466128234,calcada,continuidade_rede,extremidades_conectadas_rede,2_de_2,sem_evidencia_negativa_no_criterio,As duas extremidades apresentam correspondência geométrica com outra calçada ou travessia.,39
way/1466128236,calcada,mobilidade_fisica,smoothness,bad,impedimento_restricao_identificada,"Condição ruim do pavimento, capaz de dificultar o deslocamento de usuários com mobilidade reduzida.",39
way/1466128236,calcada,superficie,surface,concrete,caracterizacao_contextual,Material da superfície registrado para caracterização física do trecho.,39
way/1466128236,calcada,orientacao_visual_sensorial,tactile_paving,no,impedimento_restricao_identificada,"Ausência explicitamente registrada de piso tátil, interpretada no estudo como restrição à orientação sensorial.",39
way/1466128236,calcada,continuidade_rede,extremidades_conectadas_rede,2_de_2,sem_evidencia_negativa_no_criterio,As duas extremidades apresentam correspondência geométrica com outra calçada ou travessia.,39
way/1466128237,calcada,mobilidade_fisica,smoothness,good,sem_evidencia_negativa_no_criterio,Não foi identificada condição desfavorável neste critério.,39
way/1466128237,calcada,superficie,surface,concrete,caracterizacao_contextual,Material da superfície registrado para caracterização física do trecho.,39
way/1466128237,calcada,orientacao_visual_sensorial,tactile_paving,no,impedimento_restricao_identificada,"Ausência explicitamente registrada de piso tátil, interpretada no estudo como restrição à orientação sensorial.",39
way/1466128237,calcada,continuidade_rede,extremidades_conectadas_rede,1_de_2,requer_inspecao_interpretativa,Uma ou mais extremidades não apresentam correspondência geométrica no conjunto analisado. A situação não é tratada automaticamente como erro.,39
way/1466128241,calcada,mobilidade_fisica,smoothness,good,sem_evidencia_negativa_no_criterio,Não foi identificada condição desfavorável neste critério.,39
way/1466128241,calcada,superficie,surface,paving_stones,condicao_critica_oportunidade_melhoria,Material que pode demandar inspeção quanto à regularidade e trepidação. O material isoladamente não determina uma barreira.,39
way/1466128241,calcada,orientacao_visual_sensorial,tactile_paving,,indeterminado,Não há informação suficiente para determinar a presença de orientação tátil no trecho.,39
way/1466128241,calcada,continuidade_rede,extremidades_conectadas_rede,0_de_2,requer_inspecao_interpretativa,Uma ou mais extremidades não apresentam correspondência geométrica no conjunto analisado. A situação não é tratada automaticamente como erro.,39
way/1459630751,calcada,mobilidade_fisica,smoothness,bad,impedimento_restricao_identificada,"Condição ruim do pavimento, capaz de dificultar o deslocamento de usuários com mobilidade reduzida.",39
way/1459630751,calcada,qualidade_informacional,surface,concreto,qualidade_dado,Valor não padronizado em relação à etiquetagem utilizada no conjunto analisado; recomenda-se normalização.,39
way/1459630751,calcada,orientacao_visual_sensorial,tactile_paving,,indeterminado,Não há informação suficiente para determinar a presença de orientação tátil no trecho.,39
way/1459630751,calcada,continuidade_rede,extremidades_conectadas_rede,1_de_2,requer_inspecao_interpretativa,Uma ou mais extremidades não apresentam correspondência geométrica no conjunto analisado. A situação não é tratada automaticamente como erro.,39
way/1459640303,calcada,mobilidade_fisica,smoothness,bad,impedimento_restricao_identificada,"Condição ruim do pavimento, capaz de dificultar o deslocamento de usuários com mobilidade reduzida.",39
way/1459640303,calcada,superficie,surface,concrete,caracterizacao_contextual,Material da superfície registrado para caracterização física do trecho.,39
way/1459640303,calcada,orientacao_visual_sensorial,tactile_paving,no,impedimento_restricao_identificada,"Ausência explicitamente registrada de piso tátil, interpretada no estudo como restrição à orientação sensorial.",39
way/1459640303,calcada,continuidade_rede,extremidades_conectadas_rede,2_de_2,sem_evidencia_negativa_no_criterio,As duas extremidades apresentam correspondência geométrica com outra calçada ou travessia.,39
way/1466119801,calcada,mobilidade_fisica,smoothness,good,sem_evidencia_negativa_no_criterio,Não foi identificada condição desfavorável neste critério.,39
way/1466119801,calcada,superficie,surface,concrete,caracterizacao_contextual,Material da superfície registrado para caracterização física do trecho.,39
way/1466119801,calcada,orientacao_visual_sensorial,tactile_paving,,indeterminado,Não há informação suficiente para determinar a presença de orientação tátil no trecho.,39
way/1466119801,calcada,continuidade_rede,extremidades_conectadas_rede,1_de_2,requer_inspecao_interpretativa,Uma ou mais extremidades não apresentam correspondência geométrica no conjunto analisado. A situação não é tratada automaticamente como erro.,39
way/1468558426,calcada,mobilidade_fisica,smoothness,good,sem_evidencia_negativa_no_criterio,Não foi identificada condição desfavorável neste critério.,39
way/1468558426,calcada,superficie,surface,concrete,caracterizacao_contextual,Material da superfície registrado para caracterização física do trecho.,39
way/1468558426,calcada,orientacao_visual_sensorial,tactile_paving,no,impedimento_restricao_identificada,"Ausência explicitamente registrada de piso tátil, interpretada no estudo como restrição à orientação sensorial.",39
way/1468558426,calcada,continuidade_rede,extremidades_conectadas_rede,0_de_2,requer_inspecao_interpretativa,Uma ou mais extremidades não apresentam correspondência geométrica no conjunto analisado. A situação não é tratada automaticamente como erro.,39
way/396232531,travessia_linear,mobilidade_fisica,wheelchair,,indeterminado,A condição de utilização por cadeira de rodas não foi determinada.,19
way/396232531,travessia_linear,travessia_seguranca,crossing,,indeterminado,Tipo de travessia não informado.,19
way/396232531,travessia_linear,travessia_seguranca,crossing:markings,,indeterminado,Informação de demarcação da travessia ausente.,19
way/396232531,travessia_linear,continuidade_rede,extremidades_em_calcadas,0_de_2,requer_inspecao_interpretativa,Uma ou mais extremidades não apresentam correspondência geométrica com calçada. A situação requer interpretação.,19
way/807012501,travessia_linear,mobilidade_fisica,wheelchair,,indeterminado,A condição de utilização por cadeira de rodas não foi determinada.,19
way/807012501,travessia_linear,travessia_seguranca,crossing,,indeterminado,Tipo de travessia não informado.,19
way/807012501,travessia_linear,travessia_seguranca,crossing:markings,,indeterminado,Informação de demarcação da travessia ausente.,19
way/807012501,travessia_linear,continuidade_rede,extremidades_em_calcadas,0_de_2,requer_inspecao_interpretativa,Uma ou mais extremidades não apresentam correspondência geométrica com calçada. A situação requer interpretação.,19
way/807012502,travessia_linear,mobilidade_fisica,wheelchair,,indeterminado,A condição de utilização por cadeira de rodas não foi determinada.,19
way/807012502,travessia_linear,travessia_seguranca,crossing,,indeterminado,Tipo de travessia não informado.,19
way/807012502,travessia_linear,travessia_seguranca,crossing:markings,,indeterminado,Informação de demarcação da travessia ausente.,19
way/807012502,travessia_linear,continuidade_rede,extremidades_em_calcadas,0_de_2,requer_inspecao_interpretativa,Uma ou mais extremidades não apresentam correspondência geométrica com calçada. A situação requer interpretação.,19
way/972072091,travessia_linear,mobilidade_fisica,wheelchair,,indeterminado,A condição de utilização por cadeira de rodas não foi determinada.,19
way/972072091,travessia_linear,travessia_seguranca,crossing,,indeterminado,Tipo de travessia não informado.,19
way/972072091,travessia_linear,travessia_seguranca,crossing:markings,,indeterminado,Informação de demarcação da travessia ausente.,19
way/972072091,travessia_linear,continuidade_rede,extremidades_em_calcadas,2_de_2,sem_evidencia_negativa_no_criterio,As duas extremidades apresentam correspondência geométrica com calçadas.,19
way/1453600574,travessia_linear,mobilidade_fisica,wheelchair,,indeterminado,A condição de utilização por cadeira de rodas não foi determinada.,19
way/1453600574,travessia_linear,travessia_seguranca,crossing,marked,caracterizacao_contextual,Tipo de travessia registrado para caracterização da infraestrutura.,19
way/1453600574,travessia_linear,travessia_seguranca,crossing:markings,yes,caracterizacao_contextual,Demarcação da travessia registrada.,19
way/1453600574,travessia_linear,continuidade_rede,extremidades_em_calcadas,2_de_2,sem_evidencia_negativa_no_criterio,As duas extremidades apresentam correspondência geométrica com calçadas.,19
way/1458074788,travessia_linear,mobilidade_fisica,wheelchair,yes,sem_evidencia_negativa_no_criterio,Não foi registrada restrição para cadeira de rodas neste critério.,19
way/1458074788,travessia_linear,travessia_seguranca,crossing,marked,caracterizacao_contextual,Tipo de travessia registrado para caracterização da infraestrutura.,19
way/1458074788,travessia_linear,travessia_seguranca,crossing:markings,zebra,caracterizacao_contextual,Demarcação da travessia registrada.,19
way/1458074788,travessia_linear,continuidade_rede,extremidades_em_calcadas,2_de_2,sem_evidencia_negativa_no_criterio,As duas extremidades apresentam correspondência geométrica com calçadas.,19
way/1459630752,travessia_linear,mobilidade_fisica,wheelchair,no,impedimento_restricao_identificada,Restrição de mobilidade registrada para usuários de cadeira de rodas.,19
way/1459630752,travessia_linear,travessia_seguranca,crossing,marked,caracterizacao_contextual,Tipo de travessia registrado para caracterização da infraestrutura.,19
way/1459630752,travessia_linear,travessia_seguranca,crossing:markings,zebra,caracterizacao_contextual,Demarcação da travessia registrada.,19
way/1459630752,travessia_linear,continuidade_rede,extremidades_em_calcadas,2_de_2,sem_evidencia_negativa_no_criterio,As duas extremidades apresentam correspondência geométrica com calçadas.,19
